Subdomain,IP,Cloudflare
akamai-apigateway-automation.tesla.com,23.52.180.57,false
akamai-apigateway-bender.tesla.com,23.52.180.57,false
akamai-apigateway-captiveunderwriting.tesla.com,23.52.180.57,false
akamai-apigateway-charging-ownership.tesla.com,23.52.180.57,false
akamai-apigateway-deliveryopsapi.tesla.com,23.52.180.57,false
akamai-apigateway-deliveryopsapi1.tesla.com,23.52.180.57,false
akamai-apigateway-deliveryopsvitu.tesla.com,23.52.180.57,false
akamai-apigateway-dev-captiveunderwriting.tesla.com,23.52.180.57,false
akamai-apigateway-dev-warptmsapiserver-upgrade.tesla.com,23.52.180.57,false
akamai-apigateway-dev-warptmsapiserver.tesla.com,23.52.180.57,false
akamai-apigateway-ehs-stg.tesla.com,23.52.180.57,false
akamai-apigateway-ehs.tesla.com,23.52.180.57,false
akamai-apigateway-einvoicing.tesla.com,23.52.180.57,false
akamai-apigateway-finplateng-defi.tesla.com,23.52.180.57,false
akamai-apigateway-finplateng-routeone.tesla.com,23.52.180.57,false
akamai-apigateway-finplateng.tesla.com,23.52.180.57,false
akamai-apigateway-fta.tesla.com,23.52.180.57,false
akamai-apigateway-inventorytxnextapi.tesla.com,23.52.180.57,false
akamai-apigateway-logisticsratesapi.tesla.com,23.52.180.57,false
akamai-apigateway-materials.tesla.com,23.52.180.57,false
akamai-apigateway-mfs-supplier-uat.tesla.com,23.52.180.57,false
akamai-apigateway-mfs-supplier.tesla.com,23.52.180.57,false
akamai-apigateway-ops-warp3pl.tesla.com,23.52.180.57,false
akamai-apigateway-packaging2.tesla.com,23.52.180.57,false
akamai-apigateway-payment.tesla.com,23.52.180.57,false
akamai-apigateway-procuretopayapi.tesla.com,23.52.180.57,false
akamai-apigateway-profileapi.tesla.com,23.52.180.57,false
akamai-apigateway-qa-captiveunderwriting.tesla.com,23.52.180.57,false
akamai-apigateway-shipmentplanningapi.tesla.com,23.52.180.57,false
akamai-apigateway-stg-captiveunderwriting.tesla.com,23.52.180.57,false
akamai-apigateway-stg-deliveryopsapi1.tesla.com,23.52.180.57,false
akamai-apigateway-stg-deliveryopsvitu.tesla.com,23.52.180.57,false
akamai-apigateway-stg-einvoicing.tesla.com,23.52.180.57,false
akamai-apigateway-stg-finplateng-defi.tesla.com,23.52.180.57,false
akamai-apigateway-stg-finplateng-routeone.tesla.com,23.52.180.57,false
akamai-apigateway-stg-finplateng.tesla.com,23.52.180.57,false
akamai-apigateway-stg-fta.tesla.com,23.52.180.57,false
akamai-apigateway-stg-inventorytxnextapi.tesla.com,23.52.180.57,false
akamai-apigateway-stg-materials.tesla.com,23.52.180.57,false
akamai-apigateway-stg-ops-warp3pl.tesla.com,23.52.180.57,false
akamai-apigateway-stg-packaging2.tesla.com,23.52.180.57,false
akamai-apigateway-stg-payment.tesla.com,23.52.180.57,false
akamai-apigateway-stg-procuretopayapi.tesla.com,23.52.180.57,false
akamai-apigateway-stg-profileapi.tesla.com,23.52.180.57,false
akamai-apigateway-stg-shipmentplanningapi.tesla.com,23.52.180.57,false
akamai-apigateway-stg-teslarpsapi.tesla.com,23.52.180.57,false
akamai-apigateway-stg-translationpipeline.tesla.com,23.52.180.57,false
akamai-apigateway-stg-vendorpartsapi.tesla.com,23.52.180.57,false
